body_type,bought_condition,car_id,city,color,condition,engine_size,fuel_type,make,mileage,model,price,registered_city,selling_condition,transmission,year_of_manufacture
SUV,Registered,jEY4wdZiUgnQXxtdJy0V7ridqwpunsB,Isolo,Gold,Nigerian Used,3500,Petrol,Honda,23857,Pilot,3570000,Lagos,Registered,Automatic,2003
Sedan,Registered,jEY4wdZgRZgBnNpqspuIoprU2d6PvrD,Owerri,Silver,Nigerian Used,2400,Petrol,Toyota,195158,Camry,2835000,LAGOS,Registered,Automatic,2004
Sedan,Registered,jEY4wdZypu0fJO903ZsVqay062Lr7qY,Lugbe District,Black,Nigerian Used,1800,Petrol,Honda,373270,Civic,3360000,FCT,Registered,Automatic,2007
,Imported,jEY4wdZX7aAwGE3qDZzDVTwv2mtptTr,Garki 2,White,Foreign Used,2400,Petrol,Honda,204469,Accord,12405750,,Imported,Automatic,2014
,Imported,jEY4wdZrC1Ea739zQVbv93v2wvgD95n,Ibadan,Silver,Foreign Used,3800,Petrol,Chrysler,91476,Town&Country,6825000,,Imported,Automatic,2010
SUV,Imported,jEY4wdZq8QADV5IWDTLK6ZtQPs5ucOH,Ikorodu,Black,Nigerian Used,3500,Hybrid,Toyota,225843,Highlander,7652400,,Registered,Automatic,2008
Sedan,Registered,jEY4we00TN4jGFPN2pJAKlSDYrbIV9Q,Akure,Gray,Nigerian Used,2400,Petrol,Toyota,134200,Camry,5720000,Lagos,Registered,Automatic,2007
SUV,Imported,jEY4wdZZkRoWAbLntifkyL21SGrvLqw,Ikeja,Black,Nigerian Used,3500,Petrol,Honda,111797,Pilot,4462500,Lagos,Registered,Automatic,2009
SUV,Registered,jEY4wdZpIZ9Wh3tOSSzrKH1RnjpR0fg,Lekki,Black,Nigerian Used,3300,Petrol,Toyota,150819,Highlander,5200000,,Registered,Automatic,2005
,Registered,jEY4wdZVpAlQv0opDE9I3I5zvm8x6Cz,Gudu,Black,Nigerian Used,2400,Petrol,Toyota,241954,Camry,5250000,,Registered,Automatic,2010
,Registered,jEY4wdZcXBPWomYyZcLQPPAMzO58MOo,Karu,Black,Nigerian Used,2400,Petrol,Honda,290522,Accord,4095000,,Registered,Automatic,2006
Saloon,Imported,jlCs49QhSOLkO6PQFJLtpQyQUvlAuN,Ajah,Silver,Nigerian Used,1800,Petrol,Toyota,291430,Corolla,2625000,LAGOS,Registered,Automatic,2009
SUV,Imported,jEY4wdZjQw943uXHqGgIbMIJGRbbhCQ,Lekki,Black,Nigerian Used,4400,Petrol,Land Rover,67076,Range Rover Sport,6300000,,Registered,Automatic,2009
,Imported,jEY4wdZZWap7qpw2QbOya2riYAaEJ8S,Lekki,Black,Nigerian Used,2400,Petrol,Honda,148943,Accord,4680000,,Registered,Automatic,2008
SUV,Registered,jEY4wdZk3zc8v1HJhptXZo8GGTB7C9O,Benin City,Black,Nigerian Used,3500,Petrol,Acura,96877,MDX,4725000,Lagos,Registered,Automatic,2006
,Registered,jEY4wdZTwHSpveSS6h4wQuPqdfEUQLV,Ojodu,Brown,Nigerian Used,3300,Petrol,Lexus,273840,ES,4725000,,Registered,Automatic,2006
SUV,Imported,jEY4wdZL7zxwq8atlyhintVLKNw0EjT,Lekki,Gray,Nigerian Used,2300,Petrol,Acura,162451,RDX,4200000,LAGOS,Registered,Automatic,2007
SUV,Imported,jEY4wdZUciGKBkf6yS3yOFJdfE94mBe,Lekki,Yellow,Nigerian Used,3300,Petrol,Nissan,169889,Xterra,3780000,LAGOS,Registered,Automatic,2002
,Imported,jEY4wdZkwvkdBTleklrVrcdhpcmIWlD,Surulere,Black,Foreign Used,3500,Petrol,Toyota,183992,Highlander,31200000,,Imported,Automatic,2015
SUV,Imported,jEY4wdZfh6gvcg6Ilg7tXDlCM9wPohg,Ojodu,Gray,Nigerian Used,3500,Petrol,Lexus,75813,RX 350,16275000,,Registered,Automatic,2010
,Imported,jlCs49QBwVauxWQUErElIunRusrOoW,Ibadan,Gray,Foreign Used,3500,Petrol,Mercedes-Benz,251947,E350,4725000,,Imported,Automatic,2006
Coupe,Registered,jEY4wdZwCko0pvIk6goxGLrwz1rlDzE,Uyo,Silver,Nigerian Used,2700,Petrol,Hyundai,155083,H1,1890000,ABUJA,Registered,Automatic,2002
Coupe,Imported,jEY4wdZkVdsDL9Oe6tkjA4BjCPo5Ifs,Garki 2,White,Nigerian Used,3500,Petrol,Lexus,168750,RC,13650000,ABUJA,Registered,Automatic,2015
SUV,Imported,jEY4wdZff8NrR23KONvvIBAsJMHjZ7d,Ikeja,Gray,Nigerian Used,3500,Petrol,Infiniti,135313,FX35,4200000,LAGOS,Registered,Automatic,2006
,Imported,jEY4we00uwcraxDP3JuHHCIwOjtrvF5,Amuwo-Odofin,Gray,Foreign Used,2400,Petrol,Toyota,98710,Camry,8085000,,Imported,Automatic,2007
,Registered,jEY4wdZgRYRfhKdnYx9eK4315GEu8Gf,Ojodu,Silver,Nigerian Used,3300,Petrol,Toyota,322139,Sienna,4725000,,Registered,Automatic,2004
,Imported,jEY4wdZrwsnDnYKCA498VscbTWofeRV,Ilupeju,White,Nigerian Used,3500,Petrol,Mercedes-Benz,234712,E350,12075000,LAGOS,Registered,Automatic,2011
SUV,Imported,jEY4wdZHNQ3D17lNNKa9GqxTOkL3drj,Amuwo-Odofin,Red,Nigerian Used,3500,Petrol,Ford,81624,Edge,5565000,LAGOS,Registered,Automatic,2008
,Registered,jEY4wdZqObBxxEg3abr6oySbxRYRrRp,Yaba,Black,Nigerian Used,1800,Petrol,Honda,221628,Civic,6300000,LAGOS,Registered,Automatic,2012
,Registered,jEY4wdZcXuhW0q8DKBChrbDlLjJFB8m,Ikeja,Silver,Nigerian Used,1800,Petrol,Toyota,327048,Corolla,3360000,Lagos,Registered,Automatic,2004
,Registered,jEY4wdZXpj0cpL1RQPDSO2dyAQljYXc,Port-Harcourt,Silver,Nigerian Used,1800,Petrol,Toyota,58529,Corolla,9975000,,Registered,Automatic,2014
SUV,Registered,jEY4wdZGbznoibIF4wlbAtnLEWUSNJy,Asokoro,Gray,Nigerian Used,3000,Petrol,BMW,368274,X3,6300000,,Registered,Automatic,2007
,Imported,jEY4wdZUkT5gG6INWsaBHTJCdMJcNmK,Surulere,Black,Nigerian Used,3500,Petrol,Lexus,288120,ES,7350000,,Registered,Automatic,2008
SUV,Registered,jEY4wdZtAPrTlvNno5X2CsFWOtpRQGZ,Abeokuta North,Blue,Nigerian Used,2400,Petrol,Honda,278430,CR-V,4200000,LAGOS,Registered,Automatic,2007
SUV,Imported,jEY4wdZfyXD4FeOImGX10fjQGCmr8Ma,Ikeja,Blue,Foreign Used,3500,Petrol,Ford,318139,Edge,13520000,,Imported,Automatic,2013
SUV,Imported,jEY4wdZZwW2WrHGSNdEzd07j5ql6F7F,Abeokuta North,Gray,Foreign Used,2700,Petrol,Toyota,272747,Venza,13650000,,Imported,Automatic,2011
,Registered,jEY4wdZqa73Uy9WGm1nOShOkiWcIlPO,Ikeja,Gray,Nigerian Used,1800,Petrol,Honda,172540,Civic,3150000,,Registered,Automatic,2009
SUV,Imported,jEY4wdZRUflr0Emnea4f7ozdGpr1QyM,Port-Harcourt,Silver,Foreign Used,3500,Petrol,Toyota,221335,Highlander,13125000,,Imported,Automatic,2010
,Registered,jEY4wdZTckbmYbr3t1Abx5PPx1mO7rq,Alimosho,Silver,Nigerian Used,2400,Petrol,Toyota,162257,Camry,6656000,Lagos,Registered,Automatic,2009
SUV,Imported,jEY4wdZnWiB9Rfloy9TE7Q28cau1bmy,Ajah,Black,Nigerian Used,2000,Petrol,Ford,121055,Edge,8085000,Lagos,Registered,Automatic,2014
,Registered,jEY4wdZS31kOZlYhIG1BfJmTm51ribd,Kubwa,Gray,Nigerian Used,1800,Petrol,Toyota,141975,Corolla,5887500,Abuja,Registered,Automatic,2010
SUV,Registered,jEY4wdZ9TPNKD1pWk5Aqa1sF8hxkplY,Gwarinpa,Silver,Nigerian Used,4700,Petrol,Toyota,234176,Sequoia,2887500,,Registered,Automatic,2001
SUV,Registered,jEY4wdZFEk8AbQ2Px6vCyMtwDkzd9vj,Kubwa,Black,Nigerian Used,2400,Petrol,Honda,217073,CR-V,5250000,Abuja,Registered,Automatic,2008
,Imported,jEY4wdZEe1XLqrG4M7nCiv26IPjzc0f,Ibadan,Black,Foreign Used,2500,Petrol,Toyota,207379,Camry,13500000,,Imported,Automatic,2012
,Imported,jEY4wdZESgc0mt4Jv276hDtRZKpA2KD,Amuwo-Odofin,Gray,Foreign Used,,Petrol,Toyota,115589,Camry,9371250,,Imported,Automatic,2011
SUV,Imported,jEY4wdZoqVH4uWUcHqlfdzymy2YNQFX,Surulere,Red,Nigerian Used,2500,Petrol,Nissan,118360,Rogue,4725000,Lagos,Registered,CVT,2010
,Registered,jEY4wdZIi2NmH3RY6nePHHbuQChJ83r,Ikorodu,Gray,Nigerian Used,2400,Petrol,Toyota,152437,Camry,3360000,,Registered,Automatic,2002
SUV,Registered,jEY4wdZOyzIA4Lw68OcaW8dE2ZfNAIv,Ogudu,Black,Nigerian Used,3500,Petrol,Ford,170710,Edge,7245000,Lagos,Registered,Automatic,2013
Sedan,Registered,jEY4wdZpRoamUx9kX6zUTSz6f9oqhwG,Lugbe District,Black,Nigerian Used,2400,Petrol,Toyota,88458,Camry,5042625,FCT,Registered,Automatic,2009
,Imported,jEY4wdZv8DFDeWvUN68DR3RQb4ZxeYO,Ogba,Silver,Nigerian Used,2000,Petrol,Subaru,304272,Forester,2625000,,Registered,Automatic,2000
,Imported,jEY4wdZKMFWlLIoSXtJiYa9CLHMxmvf,Abule Egba,Gray,Nigerian Used,1800,Petrol,Pontiac,162262,Vibe,5250000,LAGOS,Registered,Automatic,2009
,Registered,jEY4wdZbZvwzR4FI626rFONGFMv1FSf,Benin City,Black,Nigerian Used,1800,Petrol,Honda,224330,Civic,2625000,Abuja,Registered,Automatic,2006
,Imported,jEY4wdZcFhWGzZd1e291QUfuKMTZNDX,Lekki,Silver,Nigerian Used,1800,Petrol,Toyota,247017,Corolla Altis,3465000,,Registered,Manual,2007
Sedan,Registered,jEY4wdZHeK5PPrhShoZrg3nZFoHDg61,Lugbe District,Black,Nigerian Used,1500,Petrol,Ford,174581,Fusion,5250000,FCT,Registered,Automatic,2014
SUV,Brand new,jEY4wdZwXjwv5CZ1vVWXlfGQO9R4xkK,Ilupeju,Black,Nigerian Used,1600,Petrol,Hyundai,144608,Creta,13650000,LAGOS,Registered,Automatic,2018
,Imported,jEY4wdZBDo2SzFmyWCoufbNrk3sDmtA,Abule Egba,White,Nigerian Used,3500,Petrol,Ford,182460,Edge,5040000,LAGOS,Registered,Automatic,2013
SUV,Registered,jEY4wdZZRDHv26P84U3PZ94BHLcjYJ8,Ogudu,Black,Nigerian Used,3500,Petrol,Honda,119051,Pilot,2835000,Lagos,Registered,Automatic,2006
SUV,Imported,jEY4wdZkGmEgB1d5ubSudDJ3mean29g,Gwarinpa,Gray,Foreign Used,2500,Petrol,Toyota,28478,RAV4,82950000,,Imported,Automatic,2023
SUV,Imported,jEY4wdZvhVoK6OeU9QxFKRUv8xOjBxl,Ajah,Black,Nigerian Used,3500,Petrol,Toyota,202314,RAV4,4914000,Lagos,Registered,Automatic,2007
,Registered,jEY4wdZc6SC3Hel1ZVTfaDGtSZoHnU4,Ibadan,Silver,Nigerian Used,2400,Petrol,Toyota,237609,Camry,4160000,LAGOS,Registered,Automatic,2006
SUV,Registered,jEY4wdZIqM9FQGMlSkrMz8vpIS7pyov,Yaba,Blue,Nigerian Used,4700,Petrol,Lexus,202903,GX,4725000,LAGOS,Registered,Automatic,2004
,Imported,jEY4wdZWUxCtSXVxWUbODcPQagHz6Nv,Jabi,Red,Nigerian Used,2000,Petrol,Kia,194656,Forte,6825000,ABUJA,Registered,Manual,2012
,Imported,jEY4wdZKMArVEiNYuGUEvY8fzyfC5Do,Ikotun/Igando,Black,Nigerian Used,1600,Petrol,Hyundai,174372,Elantra,2100000,Lagos,Registered,Automatic,2009
SUV,Imported,jEY4wdZgZrEphqVl6OwEExel2iwaoGc,Ikorodu,Black,Foreign Used,3500,Petrol,Toyota,178192,Venza,17680000,,Imported,Automatic,2010
,Imported,jEY4wdZkylIpooQpBijfLrqQpyaFLrI,Gwarinpa,Gray,Foreign Used,3500,Petrol,Toyota,135493,Camry,15600000,,Imported,Automatic,2012
,Registered,jEY4wdZA8Q6ClQLZhptcKsVDdBbRSCx,Port-Harcourt,Silver,Nigerian Used,,Petrol,Mazda,197720,323,2310000,,Registered,Manual,2002
,Registered,jEY4wdZnBMziEWYcEiMEnRgYfbQyRp4,Owerri,White,Foreign Used,2500,Petrol,Toyota,178007,Camry,7350000,,Imported,Automatic,2013
,Imported,jEY4wdZVpVwwhABQYp6t2Byj4ZSbNm3,Lekki,Silver,Nigerian Used,3500,Petrol,Honda,209700,Accord,4200000,,Registered,Automatic,2008
,Brand new,jEY4wdZLB3fl27isVzjyw1UDPd8GsAT,Kosofe,Black,Nigerian Used,5700,Petrol,Lexus,204485,LX,28350000,,Registered,Automatic,2009
,Registered,jEY4wdZJpcb7wFTvg5s4uED8V8Oauvp,Abeokuta North,Silver,Nigerian Used,2000,Petrol,Mazda,376376,626,3150000,LAGOS,Registered,Manual,2000
,Imported,jEY4wdZiO3pq2TONY7ShQkD7c9yXxHN,Akure,Red,Nigerian Used,1500,Petrol,Honda,189344,Civic,15750000,FCT,Registered,CVT,2017
SUV,Registered,jEY4wdZvwHY7hCGA8fyea6dETMOEV1C,Wuse,Blue,Nigerian Used,,Petrol,Toyota,166007,Highlander,4200000,,Registered,Automatic,2002
,Imported,jEY4wdZX73GDkVKGSmnEDPK4YOj0ItW,Kubwa,Gray,Foreign Used,2500,Petrol,Toyota,100584,Camry,17160000,,Imported,Automatic,2014
SUV,Imported,jEY4wdZfzTYNzELLh7PVaJbHP01boi6,Ogudu,Silver,Foreign Used,3500,Petrol,Nissan,230013,Quest,11440000,,Imported,Automatic,2011
Sedan,Imported,jEY4wdZAlDUQCCN9zi0NQrR2wpk4Jj3,Ikotun/Igando,White,Nigerian Used,3000,Petrol,Lexus,322162,ES,5250000,Lagos,Registered,Automatic,1999
,Registered,jEY4we00jOiDihLUBzz3ri2rU84u6mb,Abeokuta North,Blue,Nigerian Used,2500,Petrol,Toyota,128043,Camry,6510000,LAGOS,Registered,Automatic,2011
,Registered,jEY4wdZchwC4aJxDBvY9br5vonvUobR,Port-Harcourt,Burgandy,Nigerian Used,1600,Petrol,Chevrolet,121066,Optra,1732500,,Registered,Automatic,2009
SUV,Imported,jEY4wdZHXCY1TOetNeBXZAwEVfwtIMt,Ajah,Gray,Nigerian Used,3700,Petrol,Mazda,109191,CX-9,6510000,Lagos,Registered,Automatic,2010
SUV,Imported,jEY4wdZE0RLYfhZMvNALrpN5WQDYFvR,Isolo,Silver,Nigerian Used,3500,Petrol,Toyota,116503,Sienna,5720000,,Registered,Automatic,2006
,Registered,jEY4wdZLrOkfxvJaQUNmoTSrrojUV6k,Port-Harcourt,Black,Nigerian Used,2400,Petrol,Toyota,207980,Camry,7245000,,Registered,Automatic,2014
,Registered,jEY4wdZCuOpCyLNdOcYyfjTwDz5DF39,Benin City,Blue,Nigerian Used,3500,Petrol,Lexus,127916,ES,6825000,EDO,Registered,Automatic,2009
,Imported,jEY4wdZt6hikef0RSQZtAQcjx9QBz2p,Lekki,Burgandy,Nigerian Used,3000,Petrol,BMW,50189,535i,13440000,,Registered,Automatic,2011
SUV,Imported,jEY4we00A3XvqX168PiwywsONX6UfGw,Lekki,Ivory,Foreign Used,2500,Petrol,Toyota,99180,RAV4,21525000,,Imported,Automatic,2017
SUV,Imported,jEY4wdZnys2CEhA82B3WHIzrxmeIVVl,Ajah,Silver,Nigerian Used,3500,Petrol,Acura,167907,MDX,3675000,LAGOS,Registered,Automatic,2002
SUV,Imported,jEY4wdZOvrFYvt3rExn4JBjAfQUB6iD,Amuwo-Odofin,Black,Nigerian Used,3500,Petrol,Toyota,223717,Venza,20160000,LAGOS,Registered,Automatic,2015
,Registered,jEY4wdZTddLQh6wkKGC4u3mHHzcTj93,Central Business District,White,Nigerian Used,2500,Petrol,Mercedes-Benz,339372,C230,3675000,,Registered,Automatic,2006
,Imported,jEY4wdZW4XtoM9CrAt4vzLwblq0asqu,Ajah,Gray,Nigerian Used,2400,Petrol,Honda,135927,Accord,2205000,Lagos,Registered,Automatic,2003
,Imported,jlCs49PM9UwaFIictrsiy8j2vH6eVg,Benin City,Gray,Nigerian Used,3500,Petrol,Lexus,250673,ES,8320000,,Registered,Automatic,2008
SUV,Imported,jEY4we00qujNL1BkJdWgyDWXhBRfylz,Benin City,Black,Nigerian Used,3300,Petrol,Lexus,184781,RX 330,8925000,EDO,Registered,Automatic,2004
,Registered,jEY4wdZAkRqTGJRDSNILMWpmYyAGF7L,Abeokuta North,Green,Nigerian Used,1800,Petrol,Toyota,617844,Avensis,3675000,LAGOS,Registered,Manual,2000
SUV,Brand new,jEY4wdZEmCv3NA1TUMJTXmxiL2YEYtW,Asokoro,Off white,Nigerian Used,4200,Diesel,Toyota,12379,Land Cruiser,84000000,,Registered,Manual,2022
SUV,Registered,jEY4wdZr9oj5NyQqe7Awj4woBnwj2fx,Alimosho,Black,Nigerian Used,3500,Petrol,Honda,181740,Pilot,3780000,,Registered,Automatic,2003
,Registered,jEY4wdZDPU9szP4WoCDX3BLYLTksHho,Surulere,Silver,Nigerian Used,1800,Petrol,Toyota,299892,Corolla,4305000,,Registered,Automatic,2007
,Imported,jEY4wdZMVFtUCQV34alL4rBiYOkWHUn,Wuse,Green,Nigerian Used,,Petrol,Toyota,283081,Camry,4200000,Abuja,Registered,Automatic,2007
SUV,Imported,jEY4wdZbrRhQeLmin59ptZdNQpfUwFR,Lekki,Red,Nigerian Used,4700,Petrol,Toyota,216778,4-Runner,4725000,lagos,Registered,Automatic,2004
,Imported,jEY4wdZVJbYK2Hl10A5vszxTo3AzLQm,Alimosho,Gray,Nigerian Used,3500,Petrol,Toyota,102396,Sienna,12075000,Lagos,Registered,Automatic,2012
,Imported,jEY4wdZNf4GIxWKj16iLOcPk53N7hna,Asokoro,Gold,Nigerian Used,2400,Petrol,Toyota,258529,Camry,6240000,,Registered,Automatic,2009
Sedan,Registered,jlCs49PSPBfwLY8pwffFYoVQYZdUIC,Uyo,Black,Nigerian Used,2400,Petrol,Honda,178398,Accord,2100000,AKWA IBOM,Registered,Automatic,2004
SUV,Imported,jEY4wdZitmR4Cg9WaJWIgTn0H7AC31c,Ikeja,Black,Nigerian Used,3500,Petrol,Toyota,103253,Highlander,8400000,,Registered,Automatic,2008
,Imported,jEY4wdZtMTWOWDv1epD3asoCz245JIS,Alimosho,Black,Nigerian Used,2400,Petrol,Hyundai,284640,Sonata,6760000,OGUN STATE,Registered,Automatic,2011
SUV,Registered,jlCs49QvlMbWYkvaghq3ZXWj9l7Cvo,Owerri,Black,Nigerian Used,3500,Petrol,Toyota,244917,Highlander,10296000,ABUJA,Registered,Automatic,2008
SUV,Imported,jEY4wdZcMbg4v30jMKXKuBOp1Qg9dfD,Asokoro,Blue,Nigerian Used,3000,Petrol,BMW,351083,X3,6825000,,Registered,Automatic,2007
,Registered,jEY4wdZr9upvNxm8QGsNt07F4HzA9aH,Amuwo-Odofin,Silver,Nigerian Used,3000,Petrol,Toyota,143214,Camry,3150000,LAGOS,Registered,Automatic,2002
Crossover,Registered,jEY4wdZxWomq4Drin3xNOANexhzj7v4,Surulere,Red,Nigerian Used,3700,Petrol,Acura,103497,ZDX,9450000,ABUJA,Registered,Automatic,2010
Bus,Registered,jEY4wdZXyHQoytwpLcgGzTHORg1ZaAa,Benin City,Red,Nigerian Used,658,Petrol,Daihatsu,119385,HIJET,2100000,EDO,Registered,Automatic,2003
Sedan,Imported,jEY4wdZKRBEEVCNIo90CJVUCSxXPrq5,Lekki,Red,Foreign Used,1800,Petrol,Toyota,246362,Corolla,13650000,,Imported,CVT,2014
Hatchback,Registered,jlCs49Q05cnqC9hzwHHkUjG6cMwjca,Akure,Gray,Nigerian Used,1600,Petrol,Toyota,263896,Corolla Verso,3150000,Lagos,Registered,Manual,2005
,Registered,jEY4wdZiYmlG4J82Jpk0QMWcHpDS0Y3,Port-Harcourt,Gray,Nigerian Used,3000,Petrol,Toyota,240618,Camry,2835000,Rivers,Registered,Automatic,1999
Sedan,Imported,jEY4wdZQPCXAU20TgzALrXDe2wIsMSv,Amuwo-Odofin,Red,Foreign Used,1800,Petrol,Toyota,111421,Corolla,11440000,,Imported,Automatic,2011
SUV,Imported,jEY4wdZeQkpX052vnCBofsIXCIbFNbe,Lekki,Brown,Nigerian Used,3500,Petrol,Toyota,100023,Venza,11550000,LAGOS,Registered,Automatic,2009
,Registered,jEY4wdZbmT1j5Uk0PrlMxGBWTi4Rldz,Kubwa,Black,Nigerian Used,1800,Petrol,Toyota,360045,Corolla,4095000,Abuja,Registered,Automatic,2009
SUV,Imported,jEY4wdZteM4uwJlPbAyM2PoQRLGTLRN,Lekki,Silver,Foreign Used,3500,Petrol,Ford,233125,Explorer,12915000,,Imported,Automatic,2013
,Imported,jEY4wdZBgKhU7W5wzyypugJj3oLMl0k,Port-Harcourt,Silver,Nigerian Used,,Petrol,Toyota,138362,Corolla,8528000,,Registered,Automatic,2012
Sedan,Imported,jEY4wdZc2a8rkK4l7MpkzhQ2ZWIYv0B,Ilupeju,Black,Foreign Used,1800,Petrol,Toyota,161297,Corolla,16275000,,Imported,CVT,2015
,Registered,jEY4wdZXU4WgJN9Qb2iI6WfG2lLTmeS,Benin City,Silver,Nigerian Used,3300,Petrol,Lexus,296778,ES,5985000,ABUJA,Registered,Automatic,2006
SUV,Registered,jEY4wdZmqfJaFa6FCebib2OVFYmyfdS,Ikotun/Igando,Silver,Nigerian Used,2000,Petrol,Toyota,283374,RAV4,3150000,,Registered,Automatic,2002
,Imported,jEY4wdZcuO8ZzMiPZH32KqkPOr6Ao1B,Port-Harcourt,White,Foreign Used,4000,Petrol,Ford,376070,F-150,4935000,,Imported,Automatic,2006
,Imported,jEY4wdZ9t2pitrOPlSjBeuvdQ3wKr3g,Lekki,Red,Nigerian Used,1800,Petrol,Toyota,113763,Corolla,6300000,,Registered,Automatic,2011
,Registered,jEY4we00Kf9S30v61GRW2H8RCZp23eB,Ibadan,Black,Nigerian Used,2500,Hybrid,Toyota,73705,Camry,9450000,Ekiti state,Registered,Automatic,2012
,Imported,jEY4wdZtJgq6mmwLeYWC8mJiHgx99z2,Wuse,Blue,Nigerian Used,2000,Petrol,BMW,289622,528i,7875000,Abuja,Registered,Automatic,2012
,Imported,jEY4wdZWV6hEUhKHOGNran3huri3lRr,Ojodu,Red,Foreign Used,2500,Petrol,Toyota,212616,Camry,9450000,,Imported,Automatic,2010
,Imported,jlCs49QjDXpeX241ld43C9jmFlkWWB,Jabi,Gray,Nigerian Used,2000,Petrol,Mercedes-Benz,110520,B-Class,5775000,ABUJA,Registered,Automatic,2006
,Imported,jEY4wdZIJKQ72vVLNLQBi0WG7dpwx2x,Lekki,Blue,Nigerian Used,3500,Petrol,Lexus,167035,ES,8400000,Lagos,Registered,Automatic,2007
Minivan,Imported,jEY4wdZnzM9eBGELdIv5DvFFE8RN4G0,Kaduna / Kaduna State,Black,Nigerian Used,3600,Petrol,Chrysler,116403,Town&Country,9450000,Lagos,Registered,Automatic,2014
SUV,Imported,jEY4wdZSTQEnjsexs4fl0KdvvRrrFDt,Ibeju,White,Nigerian Used,3500,Petrol,Mercedes-Benz,157044,GLE-Class,29400000,LAGOS,Registered,Automatic,2017
,Registered,jEY4wdZAthzkyN6sIM8CsOMVhm7YJIa,Abeokuta North,Black,Nigerian Used,5000,Petrol,Infiniti,147278,FX,7350000,LAGOS,Registered,Automatic,2011
,Registered,jEY4wdZWqyZqnL1FSmpDI1KCkOFIwLY,Abeokuta North,Silver,Nigerian Used,2400,Petrol,Toyota,319573,Camry,3045000,OGUN,Registered,Automatic,2003
,Registered,jEY4wdZdazdRIsHTK6D2ffWA3Lr4Sq0,Enugu,Black,Nigerian Used,,Petrol,Toyota,330787,Camry,7800000,ENUGU,Registered,Automatic,2011
SUV,Imported,jlCs49PZ8XLIflmy2lyXC0bySwJtGy,Gwarinpa,Gray,Nigerian Used,3500,Petrol,Lexus,244264,RX 350,16800000,,Registered,Automatic,2010
,Imported,jEY4wdZI8kSnz9sy3O88f4uqPCzBtkO,Lekki,Gray,Nigerian Used,2300,Petrol,Acura,356338,RDX,6300000,,Registered,Automatic,2007
SUV,Imported,jEY4wdZHtWGEV8M9ai8WYjpRdXXHI8w,Ikeja,Silver,Foreign Used,3500,Petrol,Ford,124722,Explorer,13650000,,Imported,Automatic,2013
Sedan,Brand new,jEY4wdZLzI0vYyIQ5R4qqUOjPM1EvNI,Port-Harcourt,Black,Nigerian Used,2000,Petrol,Jaguar,58531,XF,16275000,ABUJA,Registered,CVT,2015
SUV,Registered,jEY4wdZI6uYHcTfkeWC0gBm0Bq1onge,Uyo,Blue,Nigerian Used,3500,Petrol,Honda,241685,Pilot,3885000,LAGOS,Registered,Automatic,2004
Sedan,Registered,jEY4wdZZ23XC2H902jEypPFWt49NW4c,Ikorodu,Black,Nigerian Used,2000,Petrol,Nissan,237612,Sentra,1575000,LAGOS,Registered,Automatic,2005
,Imported,jEY4wdZqYInTpuF9L5z27sG59OZ6QIv,Lekki,Silver,Nigerian Used,2500,Petrol,Toyota,117432,Camry,12480000,Lagos,Registered,Automatic,2015
,Imported,jEY4wdZFkDYm0ojT8TwXECXzf05YlE2,Gudu,Black,Nigerian Used,4700,Petrol,Mercedes-Benz,184665,S-Class,42000000,,Registered,Automatic,2016
,Imported,jEY4wdZvbfezp3rGynWWtsH3P9HDRou,Ibadan,Gray,Nigerian Used,3500,Petrol,Toyota,331252,Avalon,3675000,LAGOS,Registered,Automatic,2005
,Imported,jEY4wdZFblcOIXD3gCuxepo24iBnOQ1,Lekki,Silver,Nigerian Used,2500,Petrol,Toyota,139050,Camry,12272000,LAGOS,Registered,Automatic,2015
,Registered,jEY4wdZjMt8pnOiMPcspVUqvm2g2zzd,Karu,Silver,Nigerian Used,2400,Petrol,Toyota,339282,Camry,4725000,,Registered,Automatic,2007
,Imported,jEY4wdZKS5jcyV0YTSiFVkPR6Ewxze3,Alimosho,Black,Nigerian Used,3500,Petrol,Acura,177947,RL,1995000,Lagos,Registered,Automatic,1999
,Imported,jlCs49QctOPCMNBnloXRVtqICmX4L3,Enugu,Silver,Nigerian Used,2000,Petrol,Mercedes-Benz,120000,CLA-Class,19950000,ENUGU,Registered,Automatic,2014
,Imported,jEY4wdZVN5ZjaTppRHJwavfG2BXCo8P,Asokoro,White,Nigerian Used,2400,Petrol,Honda,127939,Accord,7875000,,Registered,Automatic,2013
,Registered,jEY4wdZB91HcLvrmvmJidLUDZ2c6a0z,Gudu,Black,Nigerian Used,3500,Petrol,Ford,190877,Edge,5775000,,Registered,Automatic,2011
SUV,Registered,jEY4wdZBvuryCFPCVOCIwdAOEGxk3ac,Kaduna / Kaduna State,Black,Nigerian Used,3500,Petrol,Ford,145540,Explorer,15697500,KADUNA,Registered,Automatic,2016
Sedan,Registered,jEY4wdZSnRmSazKcR0MkfUXhZB91Cpj,Ikorodu,Black,Nigerian Used,2000,Petrol,Hyundai,172894,Sonata,6825000,,Registered,Automatic,2012
SUV,Imported,jlCs49QBCG90kT9D5lAnvWIwT8tLpy,Lekki,Brown,Nigerian Used,3600,Petrol,Jeep,83254,Wrangler,24150000,LAGOS,Registered,Automatic,2014
SUV,Imported,jEY4wdZmDcmA0JcjK3nbmFuIy47Tnvo,Asokoro,Yellow,Nigerian Used,4000,Petrol,Toyota,188436,FJ Cruiser,9450000,,Registered,Automatic,2007
